ID,CATEGORY,LINK,NAME ,DESCRIPTION,COMPANY,IMAGE
148,Healthcare,https://www.jobstreet.com.my/en/job/clinic-assistant-4805384?jobId=jobstreet-my-job-4805384&sectionRank=68&token=0~9d75ad39-fcce-4f31-bf2f-f855908f8b90&fr=SRP%20Job%20Listing,Clinic Assistant,"Job Description: Basic assistant / nurse job. Punctuality, professionalism, humble and TEAMWORK is fundamental. At Klinik Shah Alam we strive to provide a comfortable and non judgmental environment for our patients. Staff are required to verify patients, manage registration, dispensary and assist Doctor with procedures.Should be able to speak at least Bahasa Malaysia and English and be familiar with IT systems.",Klinik Shah Alam Taman Alam Megah,
149,Healthcare,https://www.jobstreet.com.my/en/job/full-registered-pharmacist-junior-senior-4806785?jobId=jobstreet-my-job-4806785&sectionRank=70&token=0~9d75ad39-fcce-4f31-bf2f-f855908f8b90&fr=SRP%20Job%20Listing,Full Registered Pharmacist (Junior & Senior),"Job Description: Responsible for the daily business operation of a pharmacy and executive all pharmaceutical functions.Provides counseling and drug information and drug information service to clients.To provide basic health screenings.Training pharmacy assistants and sales personal.Maintain prescription, special records, and poison book as according to regulation.To plan and maintain sufficient inventory level for all products by coordinating with HQ warehouses and perform quarterly stock take.Ensure stock visibility and products display.Able to work on shifts, weekends, and public holidays.Endeavour to achieve monthly sales targets.Any other task as and when assigned by the superior.",Success Life Healthcare Sdn Bhd,
150,Healthcare,https://www.jobstreet.com.my/en/job/senior-cardiovascular-technologist-4791353?jobId=jobstreet-my-job-4791353&sectionRank=72&token=0~9d75ad39-fcce-4f31-bf2f-f855908f8b90&fr=SRP%20Job%20Listing,Senior Cardiovascular Technologist,"Key responsibilities: To perform all the non-invasive cardiovascular diagnostic procedures including ECG, Stress Test, Echo, Stress Echo, Pharmacological Stress Echo, Holter monitoring, Pulmonary Function Test, Ambulatory Blood Pressure monitoring and others.In Cathlab, to assist Consultants and collaborate with other allied health professionals in interventional cardiac catheterization procedures such as Coronary Angiograms, Percutaneous Transluminal Coronary Angioplasty, Left and Right Heart Catheterization, Peripheral Angioplasty, Rotational Atherectomy PTMC, Implantation of Intracardiac Device Occluder, Pacemaker and ICD Implantation and IABP insertion.Always improve and maintain core competency and best practices via continuous medical/nursing education and trainings.Always comply to the industry standards as well as the company’s policies and procedures. ",CARDIAC VASCULAR SENTRAL (KUALA LUMPUR) SDN. BHD.,
151,Sciences,https://www.jobstreet.com.my/en/job/chemist-quality-assurance-4807389?jobId=jobstreet-my-job-4807389&sectionRank=2&token=0~b5064190-d454-43ab-893d-105961eca039&fr=SRP%20Job%20Listing,"Chemist, Quality Assurance","Job Description:Top Glove is embarking into a world of possibilities with a clear purpose to inspire our employees. We encourage consistent application of innovation and creativity, whether you are based in Malaysia or abroad, we find ways to break through the ordinary at the same time preserve our Corporate Value (R.I.V.E.R), overcome challenges and being proactive are our integral fundamentals in UNITING each and every Top Glovers. This is YOUR chance! As we are embarking into a journey to be listed in Global Fortune 500 employer in year 2030, we need more talent like you to join us.Shape YOUR future with Top Glove, The World Largest Manufacturer of Gloves!Your Mission:To perform a variety of engineer tasks in Quality Assurance department including:01) To be responsible for maintaining and updating of the company’s quality system procedure (QSP) for the Laboratory.02) To be responsible for incoming raw materials testing, in-process testing for process control.03) Production operation and outgoing product compliance testing; and to ensure that records are kept accordingly to the company’s quality system procedures (QSP) requirement.04) To ensure that the laboratory test results are accurate and to provide services for testing as and when requested by the other departments.05) Study and recommend to the management on the improvement of quality and work methods to reduce cost and improve efficiency of Laboratory.06) Provide training to the Laboratory Assistant on the testing methods, proper handling of chemicals, and other relevant knowledge on the glove production. Training records to be maintained.07) Practice good housekeeping concept and safety measures to ensure that all jobs done within the Laboratory are properly performed in compliant to the industrial safety and health requirement.08) To perform manpower planning & training for the QA department in line with com",Top Glove Corporation Berhad,
152,Sciences,https://www.jobstreet.com.my/en/job/shift-chemist-west-area-9220390/origin/sg?jobId=jobstreet-sg-job-9220390&sectionRank=4&token=0~b5064190-d454-43ab-893d-105961eca039&fr=SRP%20Job%20Listing,Shift Chemist (West Area),"Job Description: Perform receiving, in- process and outgoing inspection and analyze result using Statistical techniques for any trend violation.Perform acceptance test on receiving material, in- process intermediates and Finished Goods.Analyzing customer RTV/in house retain samples to support customer complaints investigation and or process troubleshooting.Support QC measurements for engineering studies, product scale up and Technology transfer.Review SPC trend and highlight any trend abnormality to production engineering.Issue Production Batch Ticket to production via JDE ARS system.Advise on rework procedure to Production.Conduct Calibration and Maintenance of Laboratory equipment.Conduct periodic Measurement System Analysis.Liaise with vendor on Maintenance, Calibration, Troubleshooting and of Lab equipment.Generate monthly SPC report for customer.Generate COA (LIMS).Generate Monthly scrap report.Internal Auditor for Management system (QMS/EMS/OHSAS).Ensure good housekeeping of the laboratory at all times.Any other tasks as and when assigned.Able to perform overtime when required.",Manfield Employment Services Pte Ltd,
153,Sciences,https://www.jobstreet.com.my/en/job/chemist-r-d-4807346?jobId=jobstreet-my-job-4807346&sectionRank=5&token=0~b5064190-d454-43ab-893d-105961eca039&fr=SRP%20Job%20Listing,Digital Marketer / Internship for Research Development,"Job description for Digital Marketer: Experience executing paid social media campaigns..Diploma or Bachelor's Degree in any field, preferably in Marketing or Business.Knowledge of video and picture editing software such as Adobe.Must be able to juggle multiple projects at the same timeIncredible attention to detail.Full understanding of all social media platforms.Problem-solving skills.Knowledge of content management systems.Range of salary RM1,800.00 - RM2,500.00.",Nilai Mayang Engineering Sdn Bhd,
154,Sciences,https://www.jobstreet.com.my/en/job/agronomic-research-assistant-4806765?jobId=jobstreet-my-job-4806765&sectionRank=7&token=0~b5064190-d454-43ab-893d-105961eca039&fr=SRP%20Job%20Listing,Agronomic Research Assistant,"Job Description: We are looking for graduates to join our agronomy team that does R&D on advanced farming techniques and manages an intensive farming facility.Job responsibilities:-Perform greenhouse farming including seeding, planting, maintaining, harvesting and packaging of vegetables.Support and assist in developing field research projects as required.Collect and interpret research data and summarize trial’s plot research.Identify plant’s pest and diseases, nutrient deficiency and physiological problems; determine the selection and application of foliar fertilizer.Assist agronomic consultant in conducting presentation, provide hands-on training, technical support and services to farmers.Co-develop new irrigation system and methodology with irrigation engineering team.",Auasia Agrotech Sdn Bhd,
155,Sciences,https://www.jobstreet.com.my/en/job/lab-analyst-port-klang-4806228?jobId=jobstreet-my-job-4806228&sectionRank=8&token=0~b5064190-d454-43ab-893d-105961eca039&fr=SRP%20Job%20Listing,Lab Analyst (Port Klang),"Responsibilities:·       To carry out accurate and timely analysis in accordance to the standard methods such as ASTM/IP/UOP/EN and laboratory procedures·       To review, question and repeat analysis if suspicious results encountered·       To perform standard quality checks and basic calibration·       To record and update result to chemist and division head·       To prepare sample prior for analysis·       To standardize reagents, prepare titration solvents and test solutions when necessary·       To upkeep cleanliness of work areas, apparatus and equipment·       To perform any tasks as assigned by management",CCIC P&O Malaysia Sdn Bhd,
156,Sciences,https://www.jobstreet.com.my/en/job/molecular-laboratory-sales-executive-4798966?jobId=jobstreet-my-job-4798966&sectionRank=11&token=0~b5064190-d454-43ab-893d-105961eca039&fr=SRP%20Job%20Listing,Molecular Laboratory Sales Executive,"Molecular Laboratory Sales Executive Responsibilities:To promote our laboratories services to Health Care Professionals at pharmacy outlets, clinics, private hospitals, or government hospitals.Ensuring excellent & superior customer service to the clients.Actively create new Health Care Professional accounts to expand the customer database in the assigned territories.Preparing relevant daily, monthly, and quarterly sales reports.Travel as and when required performing assigned duties.",NeoGenix Laboratoire,
157,Sciences,https://www.jobstreet.com.my/en/job/lab-technician-4806350?jobId=jobstreet-my-job-4806350&sectionRank=12&token=0~b5064190-d454-43ab-893d-105961eca039&fr=SRP%20Job%20Listing,Lab Technician,"Job Description: Adhere to all ISO 9001:2008 and HACCP standards.Report to QA Executive and/or QA Supervisor on the day to day shift operations.Responsible for conducting laboratory test on finished products in accordance with set standards and methods as stated in the Quality Control Process Chart, Work Instructions and Procedures manual.To maintain all testing equipment in the laboratory in good condition. Report to the servicing departments (Instrumentation, Electrical etc) if found any of the testing equipment malfunction.Issue yellow Defective Information Memo to Production, Tank Furnace and Glass Technology Department for any out of specification products. Ensure that the Memo must be counter signed by Shift FP Supervisor and acknowledged by department concern.To prepare bottle weights and GO, NO-GO gauges for hot-end and cold-end use during job change.To carryout dimensional inspection at hot-end immediately after a job change by using GO-and NO-GO gauges.Feedback to Production Department and Quality Department on out of specification products.To compile lab reports accordingly and liaise with QA Supervisor.To control the issuing and returning of GO and NO-GO gauges. Refer to QA Supervisor (Lab In-Charge) on gauges shortage or out of specification.",Malaya Glass Products Sdn Bhd,
158,Sciences,https://www.jobstreet.com.my/en/job/r-d-chemist-cum-qc-4804178?jobId=jobstreet-my-job-4804178&sectionRank=13&token=0~b5064190-d454-43ab-893d-105961eca039&fr=SRP%20Job%20Listing,R&D CHEMIST CUM QC,Job Description: 1.Check incoming raw materials & packaging raw materials.2.In-process production checking & final inspection checking.3.Halal & Cosmetic registration.4.Microbial & Stability Test.5.Prepare packaging specification6.Issue CO andd follow up CO status until shipment.7.List out product & packaging items code needed in CO for storepersonal to check the balance quantity.8.Prepare packing list.9.Prepare and update all customer OEM file.10.Able to formulate a variety of cosmetic and skin care products11.To perform any other duty as when requested by management.,Senwill Cosmetic Manufacturing Sdn Bhd,
159,Sciences,https://www.jobstreet.com.my/en/job/licensed-aircraft-engineer-b1-3-lae-4807658?jobId=jobstreet-my-job-4807658&sectionRank=14&token=0~b5064190-d454-43ab-893d-105961eca039&fr=SRP%20Job%20Listing,Licensed Aircraft Engineer B1-3 (LAE),"Job Description: Holds a valid CAAM B1-3 license.Those holding type rating on Bell 206 Series & AS355N series will have an advantage.Malaysia citizen, preferably Sabahan.Based in KOTA KINABALU.Able to work independently.Capable of handling pressure.Holds a valid D Class driving license.",Sabah Air Aviation Sdn Bhd,
160,Sciences,https://www.jobstreet.com.my/en/job/nutritionist-4799102?jobId=jobstreet-my-job-4799102&sectionRank=15&token=0~b5064190-d454-43ab-893d-105961eca039&fr=SRP%20Job%20Listing,Nutritionist,"Job Description: To assist in planning, coordinating and conduct of company's online or offline event in the National, Regional or State, eg: Product Introductory event, Health & Beauty Awareness event, Company Training event;To communicate, coordinate and follow up with the members of the Sales team for achieving monthly sales target;To handle inquiries from Sales team and provide details about the products knowledge;To provide nutritional training and briefing to the team;To provide nutritional consultation (public health) and support customer service on product inquiry;To assist in the development of nutrition and wellness programme, product launch, product articles, brochures & other relevant product information;To provide nationwide support in company functions and marketing activities;To plan and conduct regular health talks, product training, seminars at all branches nationwide;To prepare write up about health and company product that will be featured in social media;To actively organize, conduct and provide training to Sales & Marketing team as well as customers nationwide via various approaches, eg: on-site, training room, online portals & etc.",Well E Sdn Bhd,
161,Sciences,https://www.jobstreet.com.my/en/job/market-intelligence-team-lead-4805476?jobId=jobstreet-my-job-4805476&sectionRank=16&token=0~b5064190-d454-43ab-893d-105961eca039&fr=SRP%20Job%20Listing,Market Intelligence Team Lead,Job Description: Responsible in understand our market landscape and manage a team of market analysts. Together with  team responsible for conducting research pertaining to the industry as well as research about countries we operate in. A core part of your job would be to build a world-class market intelligence function which would give easy access to market & competitive intelligence to the entire company.,Webhelp APAC,
162,Sciences,https://www.jobstreet.com.my/en/job/chemist-r-d-cum-qa-4805392?jobId=jobstreet-my-job-4805392&sectionRank=19&token=0~b5064190-d454-43ab-893d-105961eca039&fr=SRP%20Job%20Listing,CHEMIST (R&D) CUM QA,Job Highlights: DYNAMIC COMPANY COMPLIANCE WITH MDA AND NPRA REQUIREMENT.GOOD WORKING ENVIRONMENT.PROSPECT OF GROWTH WITH COMPANY.,ISDMeditech Sdn. Bhd.,
163,Sciences,https://www.jobstreet.com.my/en/job/lab-director-4806944?jobId=jobstreet-my-job-4806944&sectionRank=22&token=0~b5064190-d454-43ab-893d-105961eca039&fr=SRP%20Job%20Listing,Lab Director,"Main Duties & Responsibilities:Reporting to CPO, you will be responsible for all laboratory duties, manage daily operations in clinical laboratory, ensure all policies, standards, and procedures are always met, and ensure documentary and data activities are correct and done properly. You will define working shifts and schedules for your people, make sure plans and goals are achieved in a timely manner. You will also maintain laboratory equipment and facilities in good conditions, ensure their smooth production for efficient daily operation. You will work closely with R&D and other teams for new projects. In addition, train, coach, and support medical examiners in your team is part of your job too.",Agensi Pekerjaan Adecco Personnel Sdn Bhd,
164,Sciences,https://www.jobstreet.com.my/en/job/senior-clinical-research-associate-pharma-mnc-4806471?jobId=jobstreet-my-job-4806471&sectionRank=24&token=0~b5064190-d454-43ab-893d-105961eca039&fr=SRP%20Job%20Listing,Senior Clinical Research Associate (Pharma MNC),"Description: Provide clinical trial capabilities in support of clinical developmentEnsure the investigator sites meet requirements to enroll study participants into clinical trials and support ongoing activities during site maintenance and close-out.Obtain authorizations for clinical trials and ethical approvalsInitiate investigator site activities, including collection and submission of regulatory documents to Ethics Review Board and Competent Authority, communicate and negotiate budgets and contracts with site, track and ensure site compliance to required training and effectively drive timelines aligned with company priority.Act as subject matter expert on Trial Capabilities topics and provide support to Associates in managing clinical trials.",Michael Page International (Malaysia) Sdn Bhd,
165,Sciences,https://www.jobstreet.com.my/en/job/chemist-chemical-engineer-4805252?jobId=jobstreet-my-job-4805252&sectionRank=25&token=0~b5064190-d454-43ab-893d-105961eca039&fr=SRP%20Job%20Listing,Chemist/Chemical Engineer,"Responsibilities:·       Responsible for proper preparation of chemical dispersion and latex compounding with the correct formulation.·       Responsible for proper preparation and stock level monitoring of the production of on-line chemicals (e.g., Coagulant, Polymer, Cleaning solution, chemicals, etc.), which are required from time to time by production.·       To monitor stock usage of all the latex, compounding chemicals which is correct according to the formulation.·       To ensure the incoming latex and chemicals with approved specifications.·       To verify all the testing for compounding material and production on-line chemicals intermediate or finished products are correct and within the specification.·       Any other duties as assigned by superior from time to time",LIENTEH TECHNOLOGY SDN. BHD.,
166,Sciences,https://www.jobstreet.com.my/en/job/technical-chemist-4803285?jobId=jobstreet-my-job-4803285&sectionRank=26&token=0~b5064190-d454-43ab-893d-105961eca039&fr=SRP%20Job%20Listing,TECHNICAL CHEMIST,"Responsibilities:Developing and maintaining technical expertise on advances and innovations in industrial or automotive coatings R&D.Dealing with the challenges that come along with this portfolio, you will also experience and contribute to our dynamic working culture.Communicate extensively with various stakeholders from both internally within the Company or group of companies and externally with our business partners.Together with the manager, plan and execute tasks and projects within the laboratory.Follow up on tasks and projects in the laboratory.Create documentation, reports, and presentations, to inform the sales and management teams on the progress of projects.Maintain and develop the product portfolio of products within the business unit.Support the commercial aspect of the business by researching and testing alternative raw materials.Support production and QC in troubleshooting and formulation scale up.Create TDS-SDS for new product launch.Conduct laboratory run and do minor adjustment for formulationTo perform any others duties as required by management.Conduct performance at properties test.",Samurai 2K Aerosol Sdn Bhd,
167,Sciences,https://www.jobstreet.com.my/en/job/laboratory-admin-assistant-4783838?jobId=jobstreet-my-job-4783838&sectionRank=27&token=0~b5064190-d454-43ab-893d-105961eca039&fr=SRP%20Job%20Listing,Laboratory Admin Assistant,Job Scopes:To assist in department administrative duties.Responsible in preparing reports of analysis once the test completed.Able to perform jobs with minimum errors - works neatly and with accuracy regardless of volume of work especially in reporting the results.Responsible to assist in analysis on supporting laboratory testing and development activities.Responsible to maintain updated records of laboratory stock level by conducting regular checking.Assisting in maintaining condition of laboratory equipment.Performs other duties as requested by the Laboratory Officer Supervisor or Laboratory Manager.,APSN Lifescience Sdn Bhd,
168,Sciences,https://www.jobstreet.com.my/en/job/r-d-chemist-4805811?jobId=jobstreet-my-job-4805811&sectionRank=28&token=0~b5064190-d454-43ab-893d-105961eca039&fr=SRP%20Job%20Listing,R&D Chemist,"DUTIES AND RESPONSIBILITIES:Develop new products / processes/ product and process improvement for gloves.Work towards cost saving exercises for products and processes.  Work with Technical Chemists to transfer the new product/ process/ product and process improvement to production.Work with Technical Chemists to transfer cost saving for product and processes to production.Be RESOURCEFUL by continually keeping up to date with the developments in his/her own field and keeping abreast with issues internally and externally to identify new areas of learning, improve knowledge and suggest/develop new ideas, products or processes.Document changes in product due to new product, product improvement, product changes and other changes in the design control file within the time frame stipulated in KPI.Execute and follow through with the research and development work in a systematic manner, documenting all work accurately and completely.Liaise with external suppliers and customers in matters regarding materials, chemicals and glove issues.Diligently work to ensure all new products, product improvements, process improvements, product and process changes are documented and communicated correctly using the change control procedure / WI.Ensure that all work activities are done in strict accordance to own department’s work instructions and procedures to conform to both Hartalega’s Quality and SHE system.Provide support to sales & marketing and external customers in relation to their enquiries in a timely manner as stipulated in KPI.Offer assistance to operations and other departments when circumstances warrant.Work well with colleagues and stick to work related promises made to own team and to other departments.All other tasks as assigned by superior.",Hartalega Sdn Bhd,
169,Sciences,https://www.jobstreet.com.my/en/job/regional-business-executive-4806610?jobId=jobstreet-my-job-4806610&sectionRank=29&token=0~b5064190-d454-43ab-893d-105961eca039&fr=SRP%20Job%20Listing,Regional Business Executive,JOB DESCRIPTION: To develop market and under-take sales of plant protection products in plantation sector and other agriculture organisations.,ICP AGRO SOLUTIONS SDN BHD,
170,Sciences,https://www.jobstreet.com.my/en/job/genomics-business-associate-4789881?jobId=jobstreet-my-job-4789881&sectionRank=30&token=0~b5064190-d454-43ab-893d-105961eca039&fr=SRP%20Job%20Listing,Genomics Business Associate,"Job duties include but are not limited to:Territory coverage weekly planning, execution and report (monthly outstation coverage)To engage actively with customer to understand their needs and problemsTo conduct account mapping and updating customer profile for territory development.Responsible for the basic sales operations workflow such as issuing quotation, monitoring the status of P.O, D.O and following up the payment etc.Responsible for the Marketing event – Pre, During and Post event activities such as introducing the new technology platforms and products to the marketTo consistently update the case opportunities in Bitrix and engage in accurate forecasting.To assist in the delivery of the customer samples to the service provider site if needed.To participate and prepare for the tender documents.Attending training planned by the companyTo develop and maintain strong customer connections at various levels in the organization.To effectively build the short/medium/long term sales pipelines and manages the necessary levels of sales leads and opportunities especially under your territory accounts.To prepare and present customer sales presentations (relevant products) and participates in all sales activitiesTo plan and organize the activities in order to ensure efficient and effective sales support, field service, technical and applications support are provided.",ScienceVision Sdn Bhd,
171,Sciences,https://www.jobstreet.com.my/en/job/senior-chemist-floor-coating-waterproofing-9206548/origin/sg?jobId=jobstreet-sg-job-9206548&sectionRank=62&token=0~3b5b3d59-015d-40b8-9a3e-0788fade4126&fr=SRP%20Job%20Listing,Senior Chemist (Floor Coating / Waterproofing),"The Job Description: Develop new products in floor coating and/or waterproofing.Review and refine existing products to improve cost and quality.Ensure newly developed and existing products meet local authority standards / regulations.Support first batch production trial.Support trial application at customer site.Conduct site investigation on new/existing product.Write Technical Reports of the experiments and test results.Create & maintain test reports, technical documents and files.Maintain lab equipment and report on malfunctions.Ensure compliance with Laboratory Safety Management Standard ",Nippon Paint (Singapore) Co Pte Ltd,
172,Sciences,https://www.jobstreet.com.my/en/job/product-stewardship-executive-4801188?jobId=jobstreet-my-job-4801188&sectionRank=64&token=0~3b5b3d59-015d-40b8-9a3e-0788fade4126&fr=SRP%20Job%20Listing,Product Stewardship Executive,"Duties and responsibilities:Conceptualise, generate, maintain and update technical product literature for finished products - such as information sheets, product specifications, Safety Data sheets and related documentation for internal use and customer use.Responsible for customer’s request and enquiries on products documentation and samples.Organise and maintain the process of customer sample orders.Support new raw material and new/existing products of evaluation process and registrationCarry out some basic regulatory assessments, working with Quality and other relevant departments where required.Maintain an updated product database covering all technical parameters defined as crucial.Carry out R&D lab works when required (Chemical and physical properties).Perform any other related duties as assigned by immediate supervisor.",Sternmaid Asia Pacific Sdn Bhd,
173,Sciences,https://www.jobstreet.com.my/en/job/lab-technician-4803492?jobId=jobstreet-my-job-4803492&sectionRank=65&token=0~3b5b3d59-015d-40b8-9a3e-0788fade4126&fr=SRP%20Job%20Listing,Lab Technician,"Job Description: Responsible to carry out soil and rock testing according to the procedure (E.g. Soil Moisture Content Test, Atterberg Limit Test, Particle Density Test, etc.)Perform regular preventive maintenance on machines and equipment.Perform Intermediate checking of the equipment.Assist senior technicians to carry out the testing.Comply with safety regulations and maintain clean and orderly work areas.Carry out other duties assigned by the Supervisor.",IDEAL ENGINEERING LABORATORY SDN. BHD.,
174,Sciences,https://www.jobstreet.com.my/en/job/assistant-manager-business-development-food-technologist-4802127?jobId=jobstreet-my-job-4802127&sectionRank=68&token=0~3b5b3d59-015d-40b8-9a3e-0788fade4126&fr=SRP%20Job%20Listing,Assistant Manager - Business Development (Food Technologist),"Job Description: To conduct new food products research and development including the development of prototypes.Collaborating across functional teams to manage new product development from conceptual to commercialisation.To design shelf life test, sensory test, new product specifications and nutrition information.Preparing and safekeeping all products related documents.",MKH Berhad,
175,Sciences,https://www.jobstreet.com.my/en/job/operations-assistant-movements-4804124?jobId=jobstreet-my-job-4804124&sectionRank=70&token=0~3b5b3d59-015d-40b8-9a3e-0788fade4126&fr=SRP%20Job%20Listing,"Operations Assistant, Movements","Job Description: Under the overall supervision of the Chief of Mission in Malaysia, the general supervision of the Operations Coordinator and the direct supervision of the Senior Operations Assistant, Movement and Data Processing, the Operations Assistant, Movements is responsible for undertaking movements activities.","UNOPS (ICA) subcontracted, one year with possible extension",
176,Sciences,https://www.jobstreet.com.my/en/job/medical-sales-specialist-penang-4787356?jobId=jobstreet-my-job-4787356&sectionRank=71&token=0~3b5b3d59-015d-40b8-9a3e-0788fade4126&fr=SRP%20Job%20Listing,Medical Sales Specialist (Penang),"RESPONSIBILITIES: Responsible for building and managing the relationship with an assigned set of customers to achieve the goals and objectives identified by the company and meeting / exceeding sales target.Actively develops new account relationships in the Zone / Area to enhance customer penetration.Proactively identify opportunities/new sales lead, understand customer requirements, prepare quotation, follow up and monitor closely to win deals.Provide customer’s credit and payment data to manage purchase orders.Work closely with Product Management team to organize product demo and facilitate customer training.Ensures that customers have a positive experience; commits to meet or exceed customer expectations.Occasional weekend and evening trade show and/or meeting participation are a must.Proactively learning features of new products and understand new service offering developed by the Company.",IDS Medical Systems (M) Sdn Bhd,
177,Sciences,https://www.jobstreet.com.my/en/job/laboratory-manager-4802607?jobId=jobstreet-my-job-4802607&sectionRank=73&token=0~3b5b3d59-015d-40b8-9a3e-0788fade4126&fr=SRP%20Job%20Listing,Laboratory Manager,"Snapshot of the role:We are looking for an experienced and diligent Laboratory Manager to manage laboratory operations and maintain database of laboratory results for our poultry farms under the Integrated Livestock Farming (ILF) division of QL Group. This position will be leading a team of two Lab Executive and one Lab Assistant and will be based at our Rawang lab located at 37B, Jalan Bandar Rawang 3, Pusat Bandar Rawang, 48000 Rawang, Selangor.",QL Corporate Services Sdn Bhd,
178,Sciences,https://www.jobstreet.com.my/en/job/lab-qc-assistant-4800187?jobId=jobstreet-my-job-4800187&sectionRank=74&token=0~3b5b3d59-015d-40b8-9a3e-0788fade4126&fr=SRP%20Job%20Listing,Lab QC Assistant,"Job Description:Accountabilities:Perform daily NIR scanning in two shifts working pattern.Ingredients and finished product physica  check.Daily LIMS management – Log in feed and ingredients details, wet chemistry data entry and LIMS release.Perform ingredient mycotoxin test.Perform moisture test according to schedule.Record results, perfrom calculations, and prepare reports.Perform routine maintenance and safety checks on laboratory equipment to ensure it is in good working condition.Key person in NIR cleaning and maintenance..Handling validation/ monitoring sample - Samples collection, samples preparation, NIR scanning, wet chemistry result tracking and recording)In charge in monthly laboratory audit.Handling routine and non-routine samples testing at 3rd party lab.Maintain lab test results and keep the record according to document retaintion policy.Communicate ingredient and finished feed defect to QA, RMS, Production, Customer Service and FSQR Lead.Responsible in housekeeping and 5S 10%.",Cargill Feed Sdn Bhd,
179,Sciences,https://www.jobstreet.com.my/en/job/medical-service-engineer-4803939?jobId=jobstreet-my-job-4803939&sectionRank=75&token=0~3b5b3d59-015d-40b8-9a3e-0788fade4126&fr=SRP%20Job%20Listing,Medical Service Engineer,"Job Description: To repair and troubleshoot medical devices including patient monitor and OT equipment.To carry out preventive maintenance (PPM) service in hospital and to prepare technical report.To deliver medical device, installation, testing and commissioning and on-site user training.To resolve technical issues and customer complaints.To maintain good service relationship with customers.",Emstec Medical Solutions Sdn Bhd,
180,Sciences,https://www.jobstreet.com.my/en/job/structure-supply-engineer-4806609?jobId=jobstreet-my-job-4806609&sectionRank=76&token=0~3b5b3d59-015d-40b8-9a3e-0788fade4126&fr=SRP%20Job%20Listing,Structure Supply Engineer,"Job Description: Scope of Position:You will be part of the Supply Engineering and will contribute as a key stakeholder of the Customer Care Centre in the resolution of supply related topics (A/C structural parts, systems, tooling) to better support, satisfy and retain our Customers. Your technical expertise and advice will be used to enable the best possible supply solution for the customers and to a variety of stakeholders. Your main stakeholder is the repair solutions team in Sepang and you will give cross-programme and cross-natco support in conjunction with the Supply Engineering team.",AIRBUS CUSTOMER SERVICES SDN. BHD.,
181,Sciences,https://www.jobstreet.com.my/en/job/sales-compliance-contract-manager-4807138?jobId=jobstreet-my-job-4807138&sectionRank=77&token=0~3b5b3d59-015d-40b8-9a3e-0788fade4126&fr=SRP%20Job%20Listing,Sales Compliance / Contract Manager,The Role:You will be explaining the company’s Purchase agreement to clients.Answering questions relating to our products.The position is also a sales role where you can offer current clients additional sales offers.Work from our Luxury Purpose built State-of-the-art exhibition Centre in Johor.,Durian Projects Group Sdn Bhd,
182,Sciences,https://www.jobstreet.com.my/en/job/experienced-embryologist-4790767?jobId=jobstreet-my-job-4790767&sectionRank=78&token=0~3b5b3d59-015d-40b8-9a3e-0788fade4126&fr=SRP%20Job%20Listing,EXPERIENCED EMBRYOLOGIST,"Job Description: Prepare embryos for research purposes.Perform IVF, artificial insemination, cryopreservation of embryos and embryonic transfer.Set up filters, medias and supplies used during the collection of embryos.Freeze embryos for storage in liquid nitrogen.Monitor and fill nitrogen storage tanks when needed.Perform oocyte searching and evaluation for IVF.Monitor and record temperatures and other appropriate information.Maintain, clean and label collection vessels.Maintain embryo inventories.Complete documentation of pertinent information.Reorder supplies when needed.Assist doctors when necessary.Perform quality control of embryology media.",Sihat Mekar Sdn Bhd,
183,Sciences,https://www.jobstreet.com.my/en/job/account-manager-chemical-analysis-4803442?jobId=jobstreet-my-job-4803442&sectionRank=79&token=0~3b5b3d59-015d-40b8-9a3e-0788fade4126&fr=SRP%20Job%20Listing,Account Manager - Chemical Analysis,"Position Summary: As a member of CHEMICAL·ANALYTICAL CONSUMABLES Team for Fisher Scientific Malaysia, you will manage and take lead in the sales development, including but not limited to lab chemicals, industrial chemicals, chromatography consumables and life science reagents for assigned territories according to company’s strategies and plans. The customer base is consisting of a dynamic combination of distributors, business partners and end customers in Klang Valley. Working with a minimal amount of supervision, you will continuously maintain and improve sales by developing closed business relationships with our customers through customized selling according to the customer needs.",Thermo Fisher Scientific,
184,Sciences,https://www.jobstreet.com.my/en/job/executive-motor-portfolio-4806545?jobId=jobstreet-my-job-4806545&sectionRank=80&token=0~3b5b3d59-015d-40b8-9a3e-0788fade4126&fr=SRP%20Job%20Listing,"Executive, Motor Portfolio","JOB RESPONSIBILITIES: Support the company on motor portfolio performance analysis, coordination, administration, continuous performance monitoring, ad hoc reporting, data collection, product development and analysis on existing motor products.Support project related to business rules, regulatory and compliance activities.Compile, review and validate requirement for process and system enhancement.Develop test plan, test criteria and expected results for the required projects.Follow up with IT department / vendor on fix delivery for system enhancement.Perform and complete UAT within agreed timeline.Prepare and maintain track reports / dashboard, provide regular and periodic management update.Identify the right data for analysis and data quality issues.Provide analysis and make recommentations to support the department in growing Motor Portfolio and maintain the status as Motor market leader in the industry.Continuous performance monitoring, adhoc reporting, data collection and analysis on motor market review in order to achieve optimal portfolio growth.Close monitong company motor market share to maintain or improve the company status in the industry.",AmGeneral Insurance Berhad,
